DATETIME,IDENTIFIER,INFO,FILE,USER,LAB,VERSION,TAG1,TAG2,TAG3
"2015-01-30 22:56:00",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-30 22:56:01",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-30 23:00:59",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-30 23:01:01",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-30 23:36:24",edit_stock,X,edit_stock.php?id=1,53,127,2.9,X,X,X
"2015-01-30 23:42:01",edit_lot,X,edit_lot.php?id=1&lot=2015-01-A,53,127,2.9,X,X,X
"2015-01-30 23:42:27",edit_stock,X,edit_stock.php?id=1,53,127,2.9,X,X,X
"2015-01-30 23:44:14",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-30 23:44:15",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 00:04:38",export_config,X,export_config?id=127,53,127,2.9,X,X,X
"2015-01-31 00:57:02",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-31 00:57:04",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 01:19:36",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-31 01:19:38",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 01:26:05",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-31 01:26:06",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 01:31:07",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-31 01:31:08",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 01:35:09",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-31 01:35:10",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 01:35:47",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 01:36:23",test_type_new,X,test_type_new,53,127,2.9,X,X,X
"2015-01-31 01:36:42",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 01:46:53",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 01:46:59",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 01:47:01",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 01:47:23",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:04:36",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:04:38",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 02:04:40",lab_config_home,X,lab_config_home.php?id=127,53,127,2.9,X,X,X
"2015-01-31 02:04:41",view_stocks,X,view_stocks,53,127,2.9,X,X,X
"2015-01-31 02:04:43",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 02:04:44",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:09:33",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:12:59",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:20:03",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:21:08",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:27:31",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 02:27:37",reports,X,reports,53,127,2.9,X,X,X
"2015-01-31 02:55:51",catalog,X,catalog,53,127,2.9,X,X,X
"2015-01-31 02:55:53",reports,X,reports,53,127,2.9,X,X,X
